IDucznia;Ocena;Data;IDprzedmiotu
405;3;2008-09-06;3
20;4;2008-09-07;7
21;3;2008-09-07;8
23;4;2008-09-07;7
31;1;2008-09-07;2
39;1;2008-09-07;10
41;5;2008-09-07;2
44;3;2008-09-07;11
50;3;2008-09-07;8
59;2;2008-09-07;3
60;5;2008-09-07;8
63;2;2008-09-07;1
69;4;2008-09-07;6
95;5;2008-09-07;7
98;1;2008-09-07;10
98;4;2008-09-07;5
109;2;2008-09-07;8
114;1;2008-09-07;5
114;2;2008-09-07;3
116;1;2008-09-07;5
138;5;2008-09-07;10
147;3;2008-09-07;6
156;3;2008-09-07;9
167;2;2008-09-07;3
193;5;2008-09-07;4
218;4;2008-09-07;2
225;2;2008-09-07;1
232;4;2008-09-07;4
243;2;2008-09-07;3
243;3;2008-09-07;2
245;4;2008-09-07;4
274;5;2008-09-07;8
288;3;2008-09-07;5
298;4;2008-09-07;7
299;3;2008-09-07;8
300;4;2008-09-07;11
303;1;2008-09-07;2
307;1;2008-09-07;10
308;5;2008-09-07;2
309;3;2008-09-07;4
312;3;2008-09-07;8
316;2;2008-09-07;3
317;5;2008-09-07;8
318;2;2008-09-07;1
320;4;2008-09-07;6
332;5;2008-09-07;7
333;1;2008-09-07;10
333;4;2008-09-07;5
337;2;2008-09-07;8
339;1;2008-09-07;5
339;2;2008-09-07;3
340;1;2008-09-07;5
349;5;2008-09-07;10
352;3;2008-09-07;6
356;3;2008-09-07;9
361;2;2008-09-07;3
373;5;2008-09-07;4
384;4;2008-09-07;2
386;2;2008-09-07;1
389;4;2008-09-07;4
394;2;2008-09-07;3
394;3;2008-09-07;2
395;4;2008-09-07;4
407;5;2008-09-07;11
413;3;2008-09-07;5
1;2;2008-09-08;10
15;1;2008-09-08;2
21;5;2008-09-08;8
32;2;2008-09-08;4
39;1;2008-09-08;3
72;4;2008-09-08;4
73;4;2008-09-08;1
86;4;2008-09-08;3
87;3;2008-09-08;6
90;1;2008-09-08;8
92;5;2008-09-08;9
101;2;2008-09-08;5
140;2;2008-09-08;8
148;2;2008-09-08;9
160;2;2008-09-08;8
167;3;2008-09-08;8
178;4;2008-09-08;3
186;4;2008-09-08;8
190;1;2008-09-08;9
194;4;2008-09-08;10
214;2;2008-09-08;9
214;4;2008-09-08;5
217;5;2008-09-08;2
219;2;2008-09-08;9
220;3;2008-09-08;9
224;1;2008-09-08;8
229;3;2008-09-08;11
239;5;2008-09-08;5
248;3;2008-09-08;2
255;2;2008-09-08;6
260;2;2008-09-08;7
278;2;2008-09-08;8
279;3;2008-09-08;4
290;2;2008-09-08;10
296;1;2008-09-08;2
299;5;2008-09-08;8
303;2;2008-09-08;4
307;1;2008-09-08;3
322;4;2008-09-08;4
322;4;2008-09-08;1
327;4;2008-09-08;3
328;3;2008-09-08;6
329;1;2008-09-08;8
330;5;2008-09-08;9
334;2;2008-09-08;5
349;2;2008-09-08;8
353;2;2008-09-08;9
358;2;2008-09-08;8
361;3;2008-09-08;8
366;4;2008-09-08;3
369;4;2008-09-08;8
371;1;2008-09-08;9
373;4;2008-09-08;10
382;2;2008-09-08;9
382;4;2008-09-08;11
383;5;2008-09-08;2
384;2;2008-09-08;9
384;3;2008-09-08;9
386;1;2008-09-08;8
388;3;2008-09-08;2
392;5;2008-09-08;5
396;3;2008-09-08;2
399;2;2008-09-08;6
401;2;2008-09-08;7
409;2;2008-09-08;8
409;3;2008-09-08;4
5;2;2008-09-09;8
21;3;2008-09-09;4
40;3;2008-09-09;9
51;1;2008-09-09;1
63;2;2008-09-09;2
79;1;2008-09-09;6
80;4;2008-09-09;6
91;5;2008-09-09;1
98;4;2008-09-09;3
112;4;2008-09-09;1
115;4;2008-09-09;6
121;3;2008-09-09;4
125;1;2008-09-09;10
131;4;2008-09-09;5
141;2;2008-09-09;5
153;3;2008-09-09;9
162;4;2008-09-09;11
164;4;2008-09-09;1
165;2;2008-09-09;4
216;2;2008-09-09;4
218;1;2008-09-09;5
231;4;2008-09-09;3
241;1;2008-09-09;8
244;3;2008-09-09;5
259;3;2008-09-09;10
260;2;2008-09-09;1
277;2;2008-09-09;4
292;2;2008-09-09;8
299;3;2008-09-09;4
307;3;2008-09-09;9
313;1;2008-09-09;1
318;2;2008-09-09;2
324;1;2008-09-09;6
325;4;2008-09-09;6
329;5;2008-09-09;1
333;4;2008-09-09;3
338;4;2008-09-09;1
340;4;2008-09-09;6
342;3;2008-09-09;4
344;1;2008-09-09;10
346;4;2008-09-09;5
350;2;2008-09-09;5
355;3;2008-09-09;9
359;4;2008-09-09;6
360;4;2008-09-09;11
360;2;2008-09-09;4
383;2;2008-09-09;4
384;1;2008-09-09;5
389;4;2008-09-09;3
393;1;2008-09-09;8
394;3;2008-09-09;5
401;3;2008-09-09;10
401;2;2008-09-09;1
408;2;2008-09-09;4
2;4;2008-09-10;8
13;5;2008-09-10;5
17;4;2008-09-10;2
17;3;2008-09-10;8
18;3;2008-09-10;5
22;3;2008-09-10;5
24;5;2008-09-10;9
26;2;2008-09-10;6
37;3;2008-09-10;6
38;2;2008-09-10;7
69;2;2008-09-10;6
69;3;2008-09-10;4
85;5;2008-09-10;2
85;3;2008-09-10;6
89;5;2008-09-10;4
96;1;2008-09-10;7
98;2;2008-09-10;5
101;4;2008-09-10;9
104;3;2008-09-10;11
120;1;2008-09-10;8
121;2;2008-09-10;7
141;2;2008-09-10;7
144;5;2008-09-10;4
159;3;2008-09-10;6
170;1;2008-09-10;2
173;3;2008-09-10;4
181;3;2008-09-10;4
193;5;2008-09-10;9
205;1;2008-09-10;5
210;3;2008-09-10;5
215;4;2008-09-10;3
231;4;2008-09-10;10
233;3;2008-09-10;7
262;2;2008-09-10;5
268;4;2008-09-10;5
271;4;2008-09-10;7
281;1;2008-09-10;3
281;2;2008-09-10;4
290;4;2008-09-10;8
295;5;2008-09-10;5
297;4;2008-09-10;2
297;3;2008-09-10;8
297;3;2008-09-10;5
299;3;2008-09-10;5
300;5;2008-09-10;9
301;2;2008-09-10;6
306;3;2008-09-10;11
306;2;2008-09-10;7
320;2;2008-09-10;6
320;3;2008-09-10;4
327;5;2008-09-10;2
327;3;2008-09-10;6
328;5;2008-09-10;4
332;1;2008-09-10;7
333;2;2008-09-10;5
334;4;2008-09-10;9
335;3;2008-09-10;5
342;1;2008-09-10;8
342;2;2008-09-10;7
350;2;2008-09-10;7
351;5;2008-09-10;4
357;3;2008-09-10;6
362;1;2008-09-10;2
364;3;2008-09-10;4
367;3;2008-09-10;4
373;5;2008-09-10;9
377;1;2008-09-10;5
380;3;2008-09-10;5
382;4;2008-09-10;3
389;4;2008-09-10;10
390;3;2008-09-10;7
402;2;2008-09-10;5
405;4;2008-09-10;5
406;4;2008-09-10;7
410;1;2008-09-10;11
410;2;2008-09-10;4
18;3;2008-09-11;9
22;3;2008-09-11;2
29;3;2008-09-11;8
30;1;2008-09-11;3
46;5;2008-09-11;5
61;2;2008-09-11;7
89;1;2008-09-11;5
121;2;2008-09-11;2
129;1;2008-09-11;3
133;2;2008-09-11;9
135;2;2008-09-11;6
146;4;2008-09-11;3
159;3;2008-09-11;1
170;2;2008-09-11;2
180;3;2008-09-11;9
185;2;2008-09-11;3
188;2;2008-09-11;1
188;5;2008-09-11;9
210;3;2008-09-11;6
211;1;2008-09-11;3
230;3;2008-09-11;7
234;4;2008-09-11;5
237;5;2008-09-11;4
237;3;2008-09-11;8
242;3;2008-09-11;4
253;4;2008-09-11;10
258;5;2008-09-11;11
259;5;2008-09-11;3
266;3;2008-09-11;8
267;2;2008-09-11;9
284;4;2008-09-11;6
289;2;2008-09-11;9
297;3;2008-09-11;9
299;3;2008-09-11;2
302;3;2008-09-11;8
302;1;2008-09-11;3
311;5;2008-09-11;5
317;2;2008-09-11;7
328;1;2008-09-11;5
342;2;2008-09-11;2
345;1;2008-09-11;3
347;2;2008-09-11;9
347;2;2008-09-11;6
352;4;2008-09-11;3
357;3;2008-09-11;1
362;2;2008-09-11;2
367;3;2008-09-11;9
369;2;2008-09-11;3
370;2;2008-09-11;1
370;5;2008-09-11;9
380;3;2008-09-11;6
380;1;2008-09-11;3
388;3;2008-09-11;7
390;4;2008-09-11;5
392;5;2008-09-11;11
392;3;2008-09-11;8
394;3;2008-09-11;4
399;4;2008-09-11;10
400;5;2008-09-11;9
401;5;2008-09-11;3
404;3;2008-09-11;8
404;2;2008-09-11;9
411;4;2008-09-11;6
413;2;2008-09-11;9
4;4;2008-09-12;4
13;3;2008-09-12;7
14;1;2008-09-12;7
30;2;2008-09-12;8
38;3;2008-09-12;9
56;3;2008-09-12;3
72;3;2008-09-12;9
76;4;2008-09-12;6
97;4;2008-09-12;7
126;2;2008-09-12;6
132;2;2008-09-12;8
159;2;2008-09-12;2
193;5;2008-09-12;8
207;3;2008-09-12;7
212;2;2008-09-12;3
234;2;2008-09-12;4
246;3;2008-09-12;1
256;5;2008-09-12;10
261;2;2008-09-12;11
276;2;2008-09-12;3
291;4;2008-09-12;4
295;3;2008-09-12;7
295;1;2008-09-12;7
302;2;2008-09-12;8
306;3;2008-09-12;9
315;3;2008-09-12;3
322;3;2008-09-12;9
323;4;2008-09-12;6
332;4;2008-09-12;7
344;2;2008-09-12;6
346;2;2008-09-12;8
357;2;2008-09-12;2
373;5;2008-09-12;8
378;3;2008-09-12;7
381;2;2008-09-12;3
390;2;2008-09-12;4
395;3;2008-09-12;1
400;5;2008-09-12;10
402;2;2008-09-12;2
408;2;2008-09-12;3
11;3;2008-09-13;2
14;5;2008-09-13;8
21;1;2008-09-13;2
25;5;2008-09-13;6
30;4;2008-09-13;10
33;3;2008-09-13;8
33;4;2008-09-13;11
37;2;2008-09-13;5
48;5;2008-09-13;5
55;4;2008-09-13;3
81;2;2008-09-13;7
117;2;2008-09-13;6
117;4;2008-09-13;4
125;1;2008-09-13;7
142;4;2008-09-13;6
159;4;2008-09-13;10
163;2;2008-09-13;3
166;5;2008-09-13;1
191;1;2008-09-13;8
203;1;2008-09-13;4
212;1;2008-09-13;3
221;2;2008-09-13;7
223;2;2008-09-13;10
228;2;2008-09-13;5
228;3;2008-09-13;1
231;2;2008-09-13;7
243;4;2008-09-13;2
244;5;2008-09-13;4
273;2;2008-09-13;9
289;4;2008-09-13;7
290;5;2008-09-13;8
294;3;2008-09-13;2
295;5;2008-09-13;8
299;1;2008-09-13;2
301;5;2008-09-13;11
302;4;2008-09-13;10
304;3;2008-09-13;8
304;4;2008-09-13;9
306;2;2008-09-13;5
312;5;2008-09-13;5
315;4;2008-09-13;3
325;2;2008-09-13;7
341;2;2008-09-13;6
341;4;2008-09-13;4
344;1;2008-09-13;7
350;4;2008-09-13;6
357;4;2008-09-13;10
359;2;2008-09-13;3
361;5;2008-09-13;1
371;1;2008-09-13;8
377;1;2008-09-13;4
381;1;2008-09-13;3
385;2;2008-09-13;7
386;2;2008-09-13;10
388;2;2008-09-13;5
388;3;2008-09-13;1
389;2;2008-09-13;7
394;4;2008-09-13;2
394;5;2008-09-13;4
407;2;2008-09-13;9
413;4;2008-09-13;7
414;5;2008-09-13;8
6;4;2008-09-14;11
7;1;2008-09-14;10
10;1;2008-09-14;9
16;3;2008-09-14;4
23;4;2008-09-14;7
33;2;2008-09-14;8
48;5;2008-09-14;6
50;2;2008-09-14;6
52;1;2008-09-14;6
72;4;2008-09-14;2
77;4;2008-09-14;6
79;1;2008-09-14;5
84;3;2008-09-14;4
88;2;2008-09-14;1
90;3;2008-09-14;2
101;2;2008-09-14;10
109;2;2008-09-14;3
131;4;2008-09-14;3
133;5;2008-09-14;5
145;1;2008-09-14;7
162;3;2008-09-14;9
166;2;2008-09-14;5
169;5;2008-09-14;9
177;1;2008-09-14;9
189;4;2008-09-14;6
208;3;2008-09-14;4
228;4;2008-09-14;7
236;2;2008-09-14;4
238;3;2008-09-14;11
252;1;2008-09-14;4
263;1;2008-09-14;2
274;1;2008-09-14;8
281;4;2008-09-14;10
287;3;2008-09-14;5
292;4;2008-09-14;3
293;1;2008-09-14;10
294;1;2008-09-14;9
297;3;2008-09-14;4
300;4;2008-09-14;7
304;2;2008-09-14;8
312;5;2008-09-14;6
312;2;2008-09-14;6
313;1;2008-09-14;6
322;4;2008-09-14;2
324;4;2008-09-14;6
324;1;2008-09-14;5
326;3;2008-09-14;4
328;2;2008-09-14;1
329;3;2008-09-14;2
334;2;2008-09-14;10
337;2;2008-09-14;3
346;4;2008-09-14;3
347;5;2008-09-14;5
351;1;2008-09-14;7
359;3;2008-09-14;9
361;2;2008-09-14;5
362;5;2008-09-14;11
366;1;2008-09-14;9
371;4;2008-09-14;6
379;3;2008-09-14;4
388;4;2008-09-14;7
391;2;2008-09-14;4
392;3;2008-09-14;4
398;1;2008-09-14;4
403;1;2008-09-14;2
407;1;2008-09-14;8
410;4;2008-09-14;10
412;3;2008-09-14;5
14;3;2008-09-15;9
15;5;2008-09-15;7
19;2;2008-09-15;1
19;4;2008-09-15;10
21;3;2008-09-15;6
28;4;2008-09-15;7
50;2;2008-09-15;4
66;5;2008-09-15;2
75;4;2008-09-15;9
80;1;2008-09-15;2
89;2;2008-09-15;2
92;2;2008-09-15;7
109;2;2008-09-15;6
120;1;2008-09-15;4
146;2;2008-09-15;6
154;4;2008-09-15;9
160;2;2008-09-15;11
175;2;2008-09-15;4
190;2;2008-09-15;10
197;5;2008-09-15;4
199;2;2008-09-15;9
200;3;2008-09-15;4
201;3;2008-09-15;2
208;3;2008-09-15;8
229;2;2008-09-15;10
229;5;2008-09-15;10
229;3;2008-09-15;3
230;2;2008-09-15;8
248;2;2008-09-15;8
248;1;2008-09-15;6
266;4;2008-09-15;8
270;2;2008-09-15;2
295;3;2008-09-15;9
296;5;2008-09-15;7
298;2;2008-09-15;1
298;4;2008-09-15;10
299;3;2008-09-15;6
302;4;2008-09-15;7
312;2;2008-09-15;4
319;5;2008-09-15;2
323;4;2008-09-15;9
325;1;2008-09-15;2
328;2;2008-09-15;2
330;2;2008-09-15;7
337;2;2008-09-15;11
342;1;2008-09-15;4
352;2;2008-09-15;6
355;4;2008-09-15;9
358;2;2008-09-15;6
365;2;2008-09-15;4
371;2;2008-09-15;10
374;5;2008-09-15;4
375;2;2008-09-15;9
375;3;2008-09-15;4
376;3;2008-09-15;2
379;3;2008-09-15;8
388;2;2008-09-15;10
388;5;2008-09-15;10
388;3;2008-09-15;3
389;2;2008-09-15;8
396;2;2008-09-15;8
396;1;2008-09-15;6
404;4;2008-09-15;8
405;2;2008-09-15;2
7;5;2008-09-16;8
32;3;2008-09-16;4
37;3;2008-09-16;5
37;3;2008-09-16;5
37;4;2008-09-16;9
45;5;2008-09-16;9
76;3;2008-09-16;6
85;2;2008-09-16;1
85;2;2008-09-16;8
89;2;2008-09-16;11
96;5;2008-09-16;4
99;3;2008-09-16;2
110;4;2008-09-16;5
112;3;2008-09-16;3
114;1;2008-09-16;6
114;2;2008-09-16;10
123;4;2008-09-16;3
124;2;2008-09-16;1
126;4;2008-09-16;7
134;3;2008-09-16;6
145;4;2008-09-16;4
152;2;2008-09-16;6
161;1;2008-09-16;2
209;1;2008-09-16;8
216;5;2008-09-16;4
247;5;2008-09-16;6
252;3;2008-09-16;4
252;5;2008-09-16;4
275;4;2008-09-16;8
277;3;2008-09-16;6
280;5;2008-09-16;6
285;2;2008-09-16;4
293;5;2008-09-16;8
303;3;2008-09-16;4
306;3;2008-09-16;5
306;3;2008-09-16;5
306;4;2008-09-16;9
310;5;2008-09-16;11
323;3;2008-09-16;6
327;2;2008-09-16;1
327;2;2008-09-16;8
328;2;2008-09-16;1
332;5;2008-09-16;4
333;3;2008-09-16;2
338;4;2008-09-16;5
338;3;2008-09-16;3
339;1;2008-09-16;6
339;2;2008-09-16;10
343;4;2008-09-16;3
343;2;2008-09-16;1
344;4;2008-09-16;7
347;3;2008-09-16;6
351;4;2008-09-16;4
355;2;2008-09-16;6
358;1;2008-09-16;2
379;1;2008-09-16;8
383;5;2008-09-16;4
396;5;2008-09-16;6
398;3;2008-09-16;4
398;5;2008-09-16;4
408;4;2008-09-16;8
408;3;2008-09-16;6
409;5;2008-09-16;6
411;2;2008-09-16;4
31;1;2008-09-17;3
42;2;2008-09-17;11
53;4;2008-09-17;9
86;5;2008-09-17;9
108;5;2008-09-17;3
111;5;2008-09-17;5
119;2;2008-09-17;3
137;4;2008-09-17;2
140;1;2008-09-17;9
140;2;2008-09-17;7
145;4;2008-09-17;6
165;4;2008-09-17;10
174;3;2008-09-17;10
185;4;2008-09-17;9
209;3;2008-09-17;1
209;2;2008-09-17;4
213;4;2008-09-17;2
216;5;2008-09-17;3
217;2;2008-09-17;3
217;3;2008-09-17;5
217;4;2008-09-17;3
233;4;2008-09-17;10
234;2;2008-09-17;2
235;3;2008-09-17;7
237;5;2008-09-17;6
242;4;2008-09-17;2
271;1;2008-09-17;9
271;2;2008-09-17;5
273;2;2008-09-17;4
276;5;2008-09-17;11
284;2;2008-09-17;9
287;2;2008-09-17;3
303;1;2008-09-17;3
308;2;2008-09-17;2
314;4;2008-09-17;9
327;5;2008-09-17;9
337;5;2008-09-17;3
338;5;2008-09-17;5
342;2;2008-09-17;3
348;4;2008-09-17;2
349;1;2008-09-17;9
349;2;2008-09-17;7
351;4;2008-09-17;6
360;4;2008-09-17;10
364;3;2008-09-17;10
369;4;2008-09-17;9
379;3;2008-09-17;1
379;2;2008-09-17;4
381;4;2008-09-17;2
383;5;2008-09-17;3
383;2;2008-09-17;3
383;3;2008-09-17;5
383;4;2008-09-17;3
390;4;2008-09-17;10
390;2;2008-09-17;2
390;3;2008-09-17;7
392;5;2008-09-17;6
394;4;2008-09-17;11
406;1;2008-09-17;9
406;2;2008-09-17;5
407;2;2008-09-17;4
408;5;2008-09-17;2
411;2;2008-09-17;9
412;2;2008-09-17;3
19;2;2008-09-18;9
21;3;2008-09-18;10
31;4;2008-09-18;6
51;3;2008-09-18;6
69;4;2008-09-18;8
70;3;2008-09-18;2
79;1;2008-09-18;2
83;4;2008-09-18;4
100;1;2008-09-18;10
114;5;2008-09-18;4
118;5;2008-09-18;2
133;2;2008-09-18;4
140;4;2008-09-18;7
149;3;2008-09-18;1
161;2;2008-09-18;8
167;3;2008-09-18;7
176;4;2008-09-18;8
178;4;2008-09-18;4
186;3;2008-09-18;1
187;1;2008-09-18;7
193;3;2008-09-18;6
203;2;2008-09-18;11
204;4;2008-09-18;8
207;3;2008-09-18;1
217;2;2008-09-18;3
217;3;2008-09-18;4
221;5;2008-09-18;9
228;4;2008-09-18;5
246;4;2008-09-18;5
248;4;2008-09-18;4
258;5;2008-09-18;5
270;3;2008-09-18;4
273;3;2008-09-18;2
280;4;2008-09-18;2
280;2;2008-09-18;9
288;4;2008-09-18;8
298;2;2008-09-18;9
299;3;2008-09-18;10
303;4;2008-09-18;6
313;3;2008-09-18;6
320;4;2008-09-18;8
321;3;2008-09-18;2
324;1;2008-09-18;2
326;4;2008-09-18;4
334;1;2008-09-18;10
339;5;2008-09-18;4
341;5;2008-09-18;2
347;2;2008-09-18;4
349;4;2008-09-18;7
353;3;2008-09-18;11
358;2;2008-09-18;8
361;3;2008-09-18;7
365;4;2008-09-18;8
366;4;2008-09-18;4
369;3;2008-09-18;1
370;1;2008-09-18;7
373;3;2008-09-18;6
377;2;2008-09-18;7
377;4;2008-09-18;8
378;3;2008-09-18;1
383;2;2008-09-18;3
383;3;2008-09-18;4
385;5;2008-09-18;9
388;4;2008-09-18;5
395;4;2008-09-18;5
396;4;2008-09-18;4
400;5;2008-09-18;5
405;3;2008-09-18;4
407;3;2008-09-18;2
409;4;2008-09-18;2
409;2;2008-09-18;9
413;4;2008-09-18;8
12;3;2008-09-19;1
15;5;2008-09-19;1
27;5;2008-09-19;1
28;3;2008-09-19;3
39;4;2008-09-19;5
41;3;2008-09-19;11
43;4;2008-09-19;4
44;2;2008-09-19;10
53;5;2008-09-19;6
56;4;2008-09-19;2
59;5;2008-09-19;5
63;1;2008-09-19;5
68;4;2008-09-19;7
80;3;2008-09-19;3
94;2;2008-09-19;7
100;2;2008-09-19;4
106;3;2008-09-19;2
129;4;2008-09-19;4
143;4;2008-09-19;2
143;2;2008-09-19;6
146;2;2008-09-19;3
166;2;2008-09-19;6
170;4;2008-09-19;10
206;3;2008-09-19;5
238;3;2008-09-19;4
290;4;2008-09-19;8
294;3;2008-09-19;1
296;5;2008-09-19;1
302;5;2008-09-19;1
302;3;2008-09-19;3
307;4;2008-09-19;5
308;3;2008-09-19;7
309;4;2008-09-19;4
309;2;2008-09-19;11
314;5;2008-09-19;6
315;4;2008-09-19;2
316;5;2008-09-19;5
318;1;2008-09-19;5
320;4;2008-09-19;7
325;3;2008-09-19;3
331;2;2008-09-19;7
334;2;2008-09-19;4
336;3;2008-09-19;2
345;4;2008-09-19;4
350;4;2008-09-19;2
350;2;2008-09-19;6
352;2;2008-09-19;3
361;2;2008-09-19;6
362;4;2008-09-19;10
378;3;2008-09-19;5
392;3;2008-09-19;4
414;4;2008-09-19;8
14;2;2008-09-20;8
14;3;2008-09-20;4
42;3;2008-09-20;7
57;2;2008-09-20;3
81;2;2008-09-20;5
90;2;2008-09-20;9
96;1;2008-09-20;2
103;5;2008-09-20;6
113;2;2008-09-20;6
136;2;2008-09-20;11
144;2;2008-09-20;6
144;2;2008-09-20;2
157;4;2008-09-20;6
183;5;2008-09-20;3
183;3;2008-09-20;10
184;1;2008-09-20;6
187;4;2008-09-20;8
202;4;2008-09-20;9
231;3;2008-09-20;1
236;5;2008-09-20;1
245;4;2008-09-20;1
251;2;2008-09-20;2
253;5;2008-09-20;5
256;3;2008-09-20;6
267;3;2008-09-20;7
268;5;2008-09-20;6
270;4;2008-09-20;2
275;5;2008-09-20;7
290;3;2008-09-20;2
295;2;2008-09-20;8
296;3;2008-09-20;4
308;3;2008-09-20;7
316;2;2008-09-20;3
325;2;2008-09-20;5
329;2;2008-09-20;9
332;1;2008-09-20;2
335;5;2008-09-20;6
339;2;2008-09-20;11
348;2;2008-09-20;2
351;2;2008-09-20;6
351;2;2008-09-20;2
356;4;2008-09-20;6
368;5;2008-09-20;3
368;3;2008-09-20;10
368;1;2008-09-20;6
370;4;2008-09-20;8
376;4;2008-09-20;9
389;3;2008-09-20;1
391;5;2008-09-20;1
395;4;2008-09-20;1
398;2;2008-09-20;2
399;5;2008-09-20;5
400;3;2008-09-20;6
404;3;2008-09-20;7
405;5;2008-09-20;6
405;4;2008-09-20;2
408;5;2008-09-20;7
414;3;2008-09-20;2
6;4;2008-09-21;1
31;2;2008-09-21;2
37;4;2008-09-21;5
59;2;2008-09-21;9
81;2;2008-09-21;4
81;5;2008-09-21;6
94;3;2008-09-21;1
100;4;2008-09-21;11
106;3;2008-09-21;9
121;5;2008-09-21;4
132;3;2008-09-21;5
145;5;2008-09-21;2
145;2;2008-09-21;8
148;5;2008-09-21;3
150;2;2008-09-21;8
150;1;2008-09-21;10
164;3;2008-09-21;4
177;5;2008-09-21;8
197;4;2008-09-21;7
218;4;2008-09-21;2
222;5;2008-09-21;9
229;3;2008-09-21;1
243;4;2008-09-21;4
247;4;2008-09-21;5
254;2;2008-09-21;5
256;4;2008-09-21;8
264;3;2008-09-21;9
266;4;2008-09-21;6
271;3;2008-09-21;8
279;4;2008-09-21;4
283;2;2008-09-21;5
286;3;2008-09-21;6
289;5;2008-09-21;7
292;4;2008-09-21;1
303;2;2008-09-21;2
306;4;2008-09-21;11
316;2;2008-09-21;9
325;2;2008-09-21;4
325;5;2008-09-21;6
331;3;2008-09-21;1
334;4;2008-09-21;5
336;3;2008-09-21;9
342;5;2008-09-21;4
346;3;2008-09-21;5
351;5;2008-09-21;2
351;2;2008-09-21;8
353;5;2008-09-21;3
354;2;2008-09-21;8
354;1;2008-09-21;10
360;3;2008-09-21;4
366;5;2008-09-21;8
374;4;2008-09-21;7
384;4;2008-09-21;2
385;5;2008-09-21;9
388;3;2008-09-21;1
394;4;2008-09-21;4
396;4;2008-09-21;5
399;2;2008-09-21;5
400;4;2008-09-21;8
403;3;2008-09-21;9
404;4;2008-09-21;6
406;3;2008-09-21;8
409;4;2008-09-21;4
411;2;2008-09-21;11
412;3;2008-09-21;6
413;5;2008-09-21;7
6;3;2008-09-22;7
24;2;2008-09-22;7
33;3;2008-09-22;8
40;1;2008-09-22;6
61;3;2008-09-22;7
93;3;2008-09-22;3
109;1;2008-09-22;10
110;1;2008-09-22;8
114;2;2008-09-22;7
125;3;2008-09-22;8
139;3;2008-09-22;9
140;3;2008-09-22;7
153;5;2008-09-22;3
159;2;2008-09-22;3
162;2;2008-09-22;2
187;2;2008-09-22;5
191;2;2008-09-22;6
192;2;2008-09-22;2
219;2;2008-09-22;9
238;2;2008-09-22;4
239;5;2008-09-22;4
241;1;2008-09-22;8
241;3;2008-09-22;5
268;3;2008-09-22;2
269;3;2008-09-22;7
286;3;2008-09-22;11
287;2;2008-09-22;1
290;3;2008-09-22;10
292;3;2008-09-22;7
300;2;2008-09-22;7
304;3;2008-09-22;8
307;1;2008-09-22;6
317;3;2008-09-22;7
331;3;2008-09-22;3
337;1;2008-09-22;10
338;1;2008-09-22;8
339;2;2008-09-22;7
344;3;2008-09-22;8
349;3;2008-09-22;9
349;3;2008-09-22;7
355;5;2008-09-22;3
357;2;2008-09-22;3
359;2;2008-09-22;2
370;2;2008-09-22;5
371;2;2008-09-22;6
372;2;2008-09-22;2
384;2;2008-09-22;9
